month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,452,659,55563,21661,14206,9585,318,586,1638,153
2,220,412,54022,19678,12219,8826,553,219,1117,120
3,255,792,55131,23452,13138,7905,505,204,478,102
4,346,1072,42675,17534,10365,5861,602,278,610,103
5,386,1123,51110,18792,13471,7271,640,400,916,116
6,288,1376,41649,19637,10714,5542,541,316,717,145
7,294,1357,62955,18464,16846,8519,803,445,786,151
8,417,1302,103196,19881,26696,13145,853,544,1008,91
9,384,1491,60022,17511,14826,8343,828,467,1049,96
10,456,1505,57514,21461,15020,9301,1061,504,1180,127
11,311,1303,47927,20528,12525,6709,631,301,761,85
12,431,580,48016,23137,11072,6507,354,272,854,72
