year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,1580,20590,16513,1400,2715,2290,414,266,441,28
2009,1560,17615,14517,1284,2852,2330,300,158,377,14
2010,1306,12106,7737,373,1414,1384,216,151,346,73
2011,225,10668,5517,290,423,428,75,42,164,7
2012,785,9282,6785,311,338,485,59,29,170,15
2013,604,7885,6604,325,306,348,59,38,116,6
2014,709,7305,6752,437,392,369,100,54,98,10
2015,750,8196,8021,412,479,462,120,68,238,22
2016,660,10501,8053,310,485,1188,118,65,202,22
2017,608,9847,7960,330,448,884,130,65,224,39
2018,722,9268,9099,298,475,717,148,89,252,38
2019,580,8989,8893,350,429,647,122,58,219,42
2020,249,6924,4760,189,276,450,63,27,93,26
2021,337,8946,4583,228,329,506,74,34,133,20
2022,681,7322,5200,346,502,716,149,82,251,54
2023,627,5047,4487,290,581,873,160,93,321,22
2024,452,3471,2982,152,380,460,70,35,153,18
